TID	Name	RA(longitude)	Dec(latitude)
186	'NGC 1320                          '	51.2028765448223	-3.0422558909371
187	'StKM 1-363                        '	51.1532969985671	-18.1765476202381
188	'NGC 1325                          '	51.1065680039702	-21.5440574943054
189	'ESO 548-10                        '	51.2021	-21.3361
190	'NGC 1353                          '	53.012600	-20.819161
191	'2MASS J03322256-2758058           '	53.0940343716615	-27.9682862720685
192	'NGC 1360                          '	53.3110299852878	-25.8716614047424
193	'GOODS J033157.21-274126.6         '	52.98836300	-27.69071381
194	'VCDFS 30056                       '	53.033883	-27.742061
195	'EIS-DEEP CDFS-1 Ks 1 756          '	53.0401658369914	-27.7911240970834
196	'EIS-DEEP CDFS-1 J 1 1353          '	53.052662	-27.725053
197	'2MASS J03321601-2752121           '	53.0666813659891	-27.8700251989190
198	'2MASS J03322363-2746567           '	53.0984670189942	-27.7824697425066
199	'VCDFS 25181                       '	53.10643350	-27.80097861
200	'[LBX2017] 457                     '	53.1070916395246	-27.6615375191201
201	'[MBR2003] CDFS-H 1086             '	53.1270441306339	-27.6952647319360
202	'EIS-DEEP CDFS-4 H 1 941           '	53.1287648329591	-27.8589399813410
203	'VCDFS 25541                       '	53.158357	-27.794921
204	'[MBR2003] CDFS-H 533              '	53.16369308	-27.65286650
205	'2MASS J03324074-2743187           '	53.16975	-27.72186
206	'[MBR2003] CDFS-H 545              '	53.1750094178272	-27.6558011671205
207	'VCDFS 15745                       '	53.1758748024432	-27.9118665118373
208	'EIS-DEEP CDFS-4 J 1 2125          '	53.1857077051126	-27.8503427680469
209	'VCDFS 24491                       '	53.1967012	-27.8107250
210	'[MBR2003] CDFS-H 4014             '	53.2096414729467	-27.9024446053100
211	'GOODS J033252.88-275058.9         '	53.22033879	-27.84969711
212	'2MASS J03325342-2747207           '	53.2226328825955	-27.7890944419663
213	'[MBR2003] CDFS-H 1282             '	53.22537879	-27.70497889
214	'VCDFS 16519                       '	53.2353807666716	-27.9027692238893
215	'EIS-DEEP CDFS-1 J 1 1472          '	53.113983	-27.732650
216	'EIS-DEEP CDFS-3 J 1 919           '	53.06865950	-27.83883411
217	'[LBX2017] 780                     '	53.1750202203292	-27.9507901109373
218	'NGC 1340                          '	52.081950	-31.068181
219	'6dFGS gJ032634.8-321852           '	51.64467	-32.31439
220	'NGC 1350                          '	52.783829	-33.628639
221	'NGC 1317                          '	50.6845051120215	-37.1036562589234
222	'NGC 1326                          '	50.984988	-36.464661
223	'NGC 1365                          '	53.401908	-36.140658
224	'NGC 1316                          '	50.674121	-37.208200
225	'SDSS J034227.62-072213.2          '	55.6151007724477	-7.3703515603249
226	'NGC 1393                          '	54.6607363203124	-18.4279909830122
227	'NGC 1383                          '	54.4134286752475	-18.3394259712818
228	'NGC 1400                          '	54.878546	-18.688125
229	'6dFGS gJ034052.7-182841           '	55.219679	-18.478081
230	'IC 343                            '	55.0297369354016	-18.4434598011126
231	'NGC 1426                          '	55.7045813977086	-22.1083813005833
232	'NGC 1385                          '	54.368012	-24.501278
233	'NGC 1412                          '	55.122733	-26.862064
234	'NGC 1375                          '	53.8200082112430	-35.2656608802805
235	'NGC 1373                          '	53.746700	-35.171181
236	'NGC 1374                          '	53.819158	-35.226250
237	'NGC 1389                          '	54.2989268736633	-35.7460754622463
238	'NGC 1381                          '	54.1319149826767	-35.2952071292739
239	'NGC 1382                          '	54.287304	-35.195025
240	'ESO 358-33                        '	54.1979273376807	-34.7396612677217
241	'NGC 1379                          '	54.016417	-35.441175
242	'2MASX J03381926-3507447           '	54.580271	-35.129094
243	'LEDA 13452                        '	54.83167	-35.72472
244	'LEDA 13287                        '	53.928093	-35.338458
245	'LEDA 74761                        '	54.016784	-35.388877
246	'LEDA 74806                        '	54.57833	-35.53039
247	'6dFGS gJ033821.5-351535           '	54.5895370905606	-35.2597095563332
248	'LEDA 74817                        '	54.656800	-35.757592
249	'LEDA 74933                        '	55.5719725379994	-35.5407166829920
250	'[MHJ2008] F-18                    '	54.6747805087969	-35.5535987689617
251	'NGC 1387                          '	54.2376358103945	-35.5065811072567
252	'LEDA 74790                        '	54.324600	-35.699200
253	'NAME UCD-FORS 52                  '	54.5486954	-35.4544717
254	'NAME UCD31                        '	54.5687627030660	-35.4387504241131
255	'CGF 3-1                           '	54.569191	-35.507811
256	'2MASS J03385407-3533331           '	54.7252284566235	-35.5592645298635
257	'FCOS 0-2032                       '	54.62592	-35.35858
258	'[MHJ2008] F-59                    '	54.70358	-35.46219
259	'[BAL2007] uc257.5                 '	54.2635204103310	-35.6345535649076
260	'NAME UCD-FORS 81                  '	54.5262662757432	-35.4829315150713
261	'NGC 1386                          '	54.192658	-35.999275
262	'LEDA 13449                        '	54.80592	-35.37103
263	'[BAL2007] gc241.1                 '	54.82383	-35.42506
264	'NAME UCD-FORS 1                   '	54.7341158165901	-35.4135809476231
265	'[BAL2007] gc319.1                 '	54.707687	-35.393211
266	'NGC 1380                          '	54.114958	-34.976300
267	'[MHJ2008] F-53                    '	54.668958	-35.486028
268	'NAME UCD-FORS 4                   '	54.704750	-35.361722
269	'NAME UCD-FORS 32                  '	54.5210518114380	-35.4025923529357
270	'NAME UCD-FORS 50                  '	54.64092	-35.43250
271	'[MHJ2008] F-8                     '	54.5968329836481	-35.3335088637302
272	'[JPB2015] 054.5711568-35.4418764  '	54.5711821287344	-35.4419163542834
273	'FCOS 2-2106                       '	54.6043710214086	-35.4903156006980
274	'NAME UCD-FORS 84                  '	54.56121	-35.56131
275	'FCOS 3-2004                       '	54.8354995776396	-35.3206515316021
276	'NAME UCD-FORS 36                  '	54.5270989207712	-35.3843873369431
277	'FCOS 3-2027                       '	54.5989243041991	-35.2304305591490
278	'[MHJ2008] F-64                    '	54.67229	-35.47961
279	'[MHJ2008] F-12                    '	54.6207475197637	-35.3822532147709
280	'NAME UCD28                        '	54.5447420990961	-35.4294502455547
281	'[DRG2004] 92:39                   '	54.552917	-35.482614
282	'[JPB2015] 054.6176396-35.4272815  '	54.61825	-35.42736
283	'[MHJ2008] F-9                     '	54.6064403086221	-35.6285154335610
284	'[MHJ2008] F-60                    '	54.50071	-35.50231
285	'LEDA 2793608                      '	54.8996721404071	-35.4734644428739
286	'NAME UCD-FORS 2                   '	54.74371	-35.44114
287	'[MHJ2008] F-7                     '	54.57338	-35.55078
288	'NGC 1404                          '	54.716321	-35.594392
289	'NGC 1399                          '	54.621179	-35.450742
290	'IC 351                            '	56.8874216342717	35.0468425299947
291	'NGC 1482                          '	58.662200	-20.502450
292	'IC 2003                           '	59.0916183049921	33.8752091049750
293	'NGC 1507                          '	61.11400	-2.18614
294	'NGC 1518                          '	61.707117	-21.172617
295	'ESO 483-13                        '	63.171329	-23.158886
296	'UCAC4 273-004440                  '	61.9693338948074	-35.5918639332528
297	'NGC 1592                          '	67.4201881366645	-27.4087024220051
298	'CoKu Tau-Aur Star 4               '	70.3200442605474	28.6666881037394
299	'NGC 1681                          '	72.958571	-5.803211
300	'NGC 1640                          '	70.5604366255455	-20.4347801224374
301	'ESO 421-19                        '	72.3004	-29.2075
302	'UCAC2 17411423                    '	70.8230088700636	-33.6262351724564
303	'ESO 485-21                        '	73.2208	-25.2467
304	'ESO 486-21                        '	75.8329	-25.4239
305	'NGC 1744                          '	74.9905768635717	-26.0221802434124
306	'UGC 3258                          '	77.679208	0.408306
307	'Mrk 1094                          '	77.7004662826484	-2.6815724461308
308	'ESO 422-41                        '	77.6958181727058	-31.5970114759843
309	'NGC 1800                          '	76.607237	-31.954225
310	'ESO 362-9                         '	77.9971	-32.9725
311	'NGC 1792                          '	76.310225	-37.980750
312	'NGC 1808                          '	76.926429	-37.513050
313	'HD 243588                         '	81.4088790183540	6.5881831080035
314	'2MASS J05353041-0534385           '	83.8767584072106	-5.5773933758570
315	'V* V1526 Ori                      '	83.8428403701255	-5.5907679067079
316	'V* V1511 Ori                      '	83.8248104238517	-5.5877145814726
317	'V* V1488 Ori                      '	83.7963665192033	-5.5832398220032
318	'2MASS J05344881-0533330           '	83.7034133838621	-5.5591814314300
319	'V* V1988 Ori                      '	83.6466690153935	-5.5756277665392
320	'V* V475 Ori                       '	83.7104371179849	-5.3931411675979
321	'V* V427 Ori                       '	83.9478290059491	-5.3804210868948
322	'V* V421 Ori                       '	83.8665625724138	-5.4920024208151
323	'V* V401 Ori                       '	83.7148478286601	-5.4202750230090
324	'V* V362 Ori                       '	83.9070183732519	-5.1088954814465
325	'V* OV Ori                         '	83.9698390475686	-5.2164003279403
326	'V* OO Ori                         '	83.9167552760077	-4.7653903384106
327	'V* MY Ori                         '	83.8345737566801	-5.5109901909032
328	'V* MN Ori                         '	83.8158294758587	-5.5534409693201
329	'V* MM Ori                         '	83.8164816844367	-5.2497014238643
330	'V* BU Ori                         '	83.5702949900899	-5.0724966695643
331	'V* V484 Ori                       '	83.7899872149135	-5.4730392385767
332	'V* V1116 Ori                      '	83.612776200	-5.541443700
333	'V* V1129 Ori                      '	84.0362045212102	-5.3506165738466
334	'V* V1173 Ori                      '	83.6114554150035	-5.0216041662483
335	'V* V1997 Ori                      '	83.6592356091501	-5.4065733001714
336	'V* V2044 Ori                      '	83.7044713595596	-5.4407133332618
337	'V* V2045 Ori                      '	83.7065319558999	-5.4842584844121
338	'JW 117                            '	83.7113837405053	-5.4502859695300
339	'V* V2064 Ori                      '	83.7167401939455	-5.4052121671295
340	'V* V1461 Ori                      '	83.7205006885466	-5.4830705409754
341	'2MASS J05345424-0521353           '	83.7260418688851	-5.3598271814674
342	'V* V405 Ori                       '	83.7648708962635	-5.4905673229807
343	'V* V2155 Ori                      '	83.7729133926837	-5.4645177170396
344	'V* V2174 Ori                      '	83.7813763390790	-5.1873411371399
345	'V* V2286 Ori                      '	83.8178274340110	-5.5339577368702
346	'V* V2327 Ori                      '	83.82594900	-5.21855900
347	'V* V2331 Ori                      '	83.8271823536906	-5.2273116990761
348	'V* V490 Ori                       '	83.8284982131009	-5.2459661979723
349	'V* V2400 Ori                      '	83.8454352230438	-5.5414062054452
350	'V* V2427 Ori                      '	83.8524915525632	-5.1915655093824
351	'V* V2420 Ori                      '	83.8510182251813	-5.4992291561859
352	'2MASS J05352645-0530164           '	83.8602344355640	-5.5045942178303
353	'V* V1555 Ori                      '	83.8783425273646	-5.5100712375975
354	'V* V2543 Ori                      '	83.8964591800010	-5.3565845838597
355	'V* V2560 Ori                      '	83.9113514511028	-5.2830875200529
356	'V* V1401 Ori                      '	83.9221527807795	-5.4640128180227
357	'V* V2581 Ori                      '	83.9291540567362	-5.3840207670035
358	'V* V2590 Ori                      '	83.9426360606827	-5.3023640862024
359	'2MASS J05354661-0522243           '	83.9442167146207	-5.3734421859163
360	'V* V1582 Ori                      '	83.9485372458278	-5.3206924268510
361	'V* V2630 Ori                      '	83.9955952820051	-5.5483263937253
362	'V* V2636 Ori                      '	84.0160709390222	-5.5052418069086
363	'V* V786 Ori                       '	83.7604072840559	-5.5527706991825
364	'V* V1992 Ori                      '	83.6545739848440	-5.5191357899219
365	'V* V2033 Ori                      '	83.6995621461309	-5.5129303764672
366	'V* V1320 Ori                      '	83.75909700	-5.48607000
367	'V* V1528 Ori                      '	83.8450087522035	-5.5270300741824
368	'JW 812                            '	83.8633530991407	-5.5068870010992
369	'2MASS J05352321-0528339           '	83.8467274117865	-5.4761110611206
370	'V* V2080 Ori                      '	83.7354801143022	-5.4641605255041
371	'V* V1459 Ori                      '	83.7191419152881	-5.4010457646779
372	'V* V2005 Ori                      '	83.6700574243207	-5.4440697043606
373	'V* V2057 Ori                      '	83.7101853918754	-5.3389924533004
374	'COUP 1612                         '	83.9809972527026	-5.3953134282643
375	'2MASS J05355676-0519579           '	83.9865335635193	-5.3327670311463
376	'JW 1006                           '	83.9530211639378	-5.3243045228329
377	'V* V2605 Ori                      '	83.9578156556141	-5.3085886080096
378	'2MASS J05351820-0516340           '	83.8258538164937	-5.2760869912126
379	'V* V1967 Ori                      '	83.6229084969161	-5.2319773823152
380	'V* V425 Ori                       '	83.8983526313578	-5.2620083988608
381	'V* V2574 Ori                      '	83.9262215809472	-5.2522137804815
382	'JW 840                            '	83.8745704496518	-5.2028799262077
383	'V* V2591 Ori                      '	83.9426829070266	-5.2610682563611
384	'V* V1429 Ori                      '	83.6086462067717	-5.1258756542881
385	'JW 774                            '	83.856858	-5.132586
386	'V* AP Ori                         '	83.9390736677238	-5.4696797741440
387	'V* V1458 Ori                      '	83.7173963172775	-5.3755307149454
388	'V* V2066 Ori                      '	83.71680800	-5.41193200
389	'V* V402 Ori                       '	83.7407779983046	-5.3808876779892
